UBI	EAN	Lote	Caducidad	Piezas
9-3-10	7501125197208	D052601	5.2015	1152
9-3-11	7501125197208	D052601	5.2015	1152
9-3-12	7501125197208	D052601	5.2015	1152
9-3-13	7501125197208	D052601	5.2015	1152
9-3-14	7501125197208	D052601	5.2015	1152
9-3-15	7501125197208	D052601	5.2015	1152
9-3-16	7501125192098	H022862	2.2017	816
9-3-17	7501125192098	H072361	7.2017	816
9-3-18	7501125192098	H022862	2.2017	612
9-3-18	7501125192098	H022888	2.2017	204
9-3-19	7501125192098	H072356	7.2017	864
9-3-20	7501125192098	H022862	2.2017	816
9-3-21	7501125192098	H022888	2.2017	204
9-3-21	7501125192098	H072361	7.2017	612
9-3-22	7501125192098	H022888	2.2017	816
9-3-23	7501125192098	H022862	2.2017	816
9-3-24	7501125192098	H072436	7.2017	810
9-3-25	7501125192098	H022862	2.2017	588
9-3-25	7501125192098	H022888	2.2017	228
9-3-26	7501125192098	H022888	2.2017	816
9-3-27	7501125192098	H072361	7.2017	816
9-3-28	7501125192098	H022904	2.2017	1
9-3-28	7501125192098	H072436	7.2017	828
9-3-29	7501125192098	H022862	2.2017	7
9-3-29	7501125192098	H111538	11.2016	564
9-3-29	7501125192098	H111550	11.2016	258
9-3-30	7501125192098	H072356	7.2017	636
9-3-30	7501125192098	H111550	11.2016	108
1-03-27	7501908257518	21174	8.2014	712
10-1-10	786759113221	V12I19C	9.2014	2250
10-1-13	7501125195389	D102988	10.2015	8
10-1-14	7501125195365	D092961	9.2015	1
10-1-14	7501125195389	D092969	9.2015	7
10-1-14	7501125195389	D102988	10.2015	477
10-1-18	7501125195389	D092969	9.2015	1152
10-1-19	7501125195389	D062714	6.2015	1
10-1-19	7501125195389	D092969	9.2015	24
10-1-19	7501125195389	D102988	10.2015	8
10-1-20	7501125195389	D092969	9.2015	1152
10-1-21	7501125195389	D092969	9.2015	1152
10-1-22	7501125195389	D092969	9.2015	1152
10-1-23	7501125195389	D092969	9.2015	1152
10-1-24	7501125195389	D092969	9.2015	1152
10-1-26	7501125105784	D102990	10.2014	2258
10-1-27	7501125192098	H082555	8.2017	382
10-1-27	7501125192098	H092620	9.2017	1020
10-1-28	7501125192098	H092620	9.2017	190
10-1-29	7501125111402	B032591	9.2014	100
10-1-29	7501125111402	B092055	3.2015	2100
10-1-30	7501125192098	H082555	8.2017	4
10-1-30	7501125192098	H082562	8.2017	3
10-1-32	7501125199745	D092955	9.2015	291
10-1-34	7501125195365	D111986	11.2014	84
10-2-10	7501125195372	D111004	11.2014	360
10-2-11	7501125195372	D012233	1.2015	7
10-2-11	7501125195372	D032359	3.2015	4
10-2-11	7501125195372	D032429	3.2015	8
10-2-11	7501125195372	D100493	10.2013	48
10-2-11	7501125195372	D111004	11.2014	500
10-2-12	7501125195372	D052644	5.2015	360
10-2-13	7501125195372	D062655	6.2015	360
10-2-14	7501125195372	D01201	1.2015	35
10-2-14	7501125195372	D012201	1.2015	360
10-2-15	7501125195372	D111004	11.2014	240
10-2-15	7501125195372	D1110004	11.2014	120
10-2-16	7501125195372	D012201	1.2015	33
10-2-16	7501125195372	D062655	6.2015	240
10-2-16	7501125195372	D111004	11.2014	120
10-2-17	7501125195372	D111004	11.2014	360
10-2-18	7501125195372	D032429	3.2015	240
10-2-18	7501125195372	D111004	11.2014	120
10-2-19	7501125195372	D012201	1.2015	120
10-2-19	7501125195372	D042517	4.2015	120
10-2-19	7501125195372	D052644	5.2015	120
10-2-20	7501125195372	D111004	11.2014	360
10-2-21	7501125195372	D082880	8.2015	360
10-2-22	7501125195327	D072817	7.2015	12
10-2-22	7501125195372	D012201	1.2015	24
10-2-22	7501125195372	D012233	1.2015	164
10-2-22	7501125195372	D052644	5.2015	12
10-2-22	7501125195372	D062655	6.2015	144
10-2-24	7501125195372	D082880	8.2015	360
10-2-25	7501125195372	D082880	8.2015	360
10-2-26	7501125195372	D082880	8.2015	360
10-2-27	7501125195372	D052644	5.2015	360
10-2-28	7501125195372	D082880	8.2015	360
10-2-29	7501125195372	D082880	8.2015	360
