UBI	EAN	Lote	Caducidad	Piezas
3-3-7	7501125107108	1032067	3.2014	33
3-3-7	7501125107108	1051192	5.2013	117
3-3-7	7501125107108	1071253	7.2013	5
3-3-7	7501125135880	J061310	2.2013	54
3-3-7	7501125135880	J111551	6.2013	37
3-3-7	7501142911306	507576IB	2.2014	30
3-3-7	7501250874661	1234	3.2014	5
3-3-7	7501349022164	J031130	3.2013	99
3-3-7	7501349022164	J071361	7.2013	670
3-3-7	7501361680564	IAC010	1.2013	9
3-3-7	7501384542245	8181211	12.2013	94
3-3-7	7501384542245	8460611	6.2013	70
3-3-7	7501384542849	2580911	9.2013	125
3-3-7	7501384542849	7290511	5.2013	15
3-3-7	7501471887419	AM8043	1.2014	80
